date,ticker,price
2024-01-01,AAPL,151.33451249824367
2024-01-02,AAPL,151.03201905380334
2024-01-03,AAPL,151.99719422901182
2024-01-04,AAPL,151.16831099297997
2024-01-05,AAPL,152.0102622700527
2024-01-06,AAPL,151.64852666815173
2024-01-07,AAPL,150.94406745251982
2024-01-08,AAPL,149.30891825274963
2024-01-09,AAPL,149.0477168942354
2024-01-10,AAPL,148.5239929842228
2024-01-11,AAPL,146.33140979061014
2024-01-12,AAPL,146.7107996619814
2024-01-13,AAPL,147.90746718848436
2024-01-14,AAPL,149.92085242222714
2024-01-15,AAPL,150.20691242638796
2024-01-16,AAPL,150.39473075155237
2024-01-17,AAPL,151.66275003004228
2024-01-18,AAPL,151.23161461105315
2024-01-19,AAPL,151.08229752181242
2024-01-20,AAPL,150.8527026336358
